iteration,penalty_weight,original_objective,raw_penalty,weighted_penalty,penalized_objective,gradient_norm,undercured_voxels,overcured_voxels
0,10.0,-5168.879586195366,1576.992578249542,15769.92578249542,10601.046196300054,1569.0741784412915,0,996
1,10.0,-3542.0439486805535,149.60338888010455,1496.0338888010456,-2046.010059879508,295.2247603213656,0,496
2,10.0,-3289.9873624389515,71.51942354160511,715.194235416051,-2574.7931270229005,177.75693716240906,0,364
3,10.0,-3190.6152246029333,44.66261570676115,446.62615706761153,-2743.9890675353217,131.59848134865203,0,356
4,10.0,-3150.6814943566746,32.94007825240632,329.40078252406323,-2821.2807118326114,109.45284395854495,0,356
5,10.0,-3142.9684868313634,27.42728238424116,274.2728238424116,-2868.695662988952,99.15607119944883,0,356
6,10.0,-3151.8043632922836,24.652485047209467,246.52485047209467,-2905.2795128201888,94.36535298213349,0,356
7,10.0,-3168.0987914343027,23.173160597736633,231.7316059773663,-2936.3671854569366,92.37519569248413,0,340
8,10.0,-3187.6407323255903,22.296271515981342,222.96271515981343,-2964.678017165777,91.53809526073964,0,332
9,10.0,-3204.4173182322365,21.63581932478554,216.3581932478554,-2988.059124984381,90.9534282959691,0,332
10,10.0,-3221.889795013415,21.362549336810396,213.62549336810395,-3008.264301645311,90.80352710442658,0,336
11,10.0,-3236.022832908831,21.163641547024465,211.63641547024466,-3024.3864174385862,90.30429425820604,0,328
12,10.0,-3248.7871634568664,21.069240444603842,210.69240444603844,-3038.094759010828,89.79041815847476,0,336
13,10.0,-3261.230132503399,21.23409743439914,212.34097434399138,-3048.8891581594075,90.13052460798573,0,336
14,10.0,-3271.769003449933,21.38669884544297,213.8669884544297,-3057.902014995503,90.406091374249,0,336
15,10.0,-3281.0765251199123,21.478147729891646,214.78147729891646,-3066.295047820996,90.63866023913162,0,344
16,10.0,-3290.081254205001,21.664196829193276,216.64196829193276,-3073.4392859130685,91.01056894791787,0,344
17,10.0,-3296.3219416031784,21.676757455874835,216.76757455874835,-3079.55436704443,90.99688709590596,0,344
18,10.0,-3301.473935860438,21.695646082689812,216.95646082689814,-3084.51747503354,90.98050963933127,0,344
19,10.0,-3306.7222721101107,21.77378465514616,217.7378465514616,-3088.984425558649,91.08710414540555,0,344
20,10.0,-3311.1771186161404,21.820540426289583,218.20540426289583,-3092.971714353245,91.29505954233588,0,344
21,10.0,-3315.487861276588,21.85708717337278,218.57087173372778,-3096.91698954286,91.44599779571956,0,344
22,10.0,-3319.955072978266,21.92241522299254,219.2241522299254,-3100.7309207483404,91.62877467064557,0,344
23,10.0,-3325.006604795092,22.08070403013808,220.8070403013808,-3104.199564493711,91.95814772758786,0,344
24,10.0,-3329.262017059844,22.17763682950898,221.7763682950898,-3107.485648764754,92.12766645237483,0,336
25,10.0,-3332.833717287552,22.22442099669701,222.2442099669701,-3110.589507320582,92.15070475374854,0,340
26,10.0,-3336.0401193030334,22.25000483051948,222.5000483051948,-3113.5400709978385,92.09736999012651,0,340
27,10.0,-3338.892139534325,22.271146648513486,222.71146648513485,-3116.1806730491903,91.99074170134907,0,340
28,10.0,-3341.793893447064,22.31090996641904,223.1090996641904,-3118.6847937828734,91.92935586155777,0,340
29,10.0,-3344.8018022137003,22.38028026201486,223.8028026201486,-3120.9989995935516,91.94454553460768,0,340
30,10.0,-3347.716407533897,22.44375541631457,224.4375541631457,-3123.278853370751,91.96650727597664,0,340
31,10.0,-3350.7841534843296,22.5321857965489,225.32185796548902,-3125.4622955188406,92.04041288702643,0,340
32,10.0,-3354.183739600389,22.671758418405084,226.71758418405085,-3127.466155416338,92.22055801979768,0,340
33,10.0,-3357.3758653423456,22.795742980207656,227.95742980207655,-3129.418435540269,92.3691341727247,0,340
34,10.0,-3360.516905673287,22.922900025466017,229.22900025466018,-3131.287905418627,92.51259586934682,0,340
35,10.0,-3363.5736528803327,23.05710700351265,230.57107003512652,-3133.0025828452062,92.64988105540432,0,340
36,10.0,-3366.5636552171595,23.202067241660558,232.02067241660558,-3134.542982800554,92.79878648253501,0,340
37,10.0,-3369.328826151324,23.327055873178114,233.27055873178114,-3136.058267419543,92.9228544484963,0,340
38,10.0,-3371.9230925162015,23.437552949155325,234.37552949155327,-3137.5475630246483,93.02764066412936,0,340
39,10.0,-3374.3624451267237,23.534711851874064,235.34711851874064,-3139.0153266079833,93.1163315127379,0,340
40,10.0,-3376.6673926174453,23.620044288215826,236.20044288215826,-3140.466949735287,93.19179843577042,0,340
41,10.0,-3378.867548655513,23.696342677656002,236.96342677656003,-3141.904121878953,93.25684391019567,0,340
42,10.0,-3380.9804726807497,23.765224470907626,237.65224470907626,-3143.3282279716736,93.31335626851113,0,340
43,10.0,-3383.2308684620293,23.855142342536038,238.55142342536038,-3144.6794450366688,93.4131100746165,0,340
44,10.0,-3385.4480943825642,23.945907451986027,239.45907451986028,-3145.989019862704,93.51396803125576,0,340
45,10.0,-3387.8403496411115,24.064691190485554,240.64691190485553,-3147.193437736256,93.68858385148339,0,340
46,10.0,-3390.2967443392276,24.19909861670796,241.9909861670796,-3148.305758172148,93.90471347905367,0,340
47,10.0,-3392.5271971203633,24.312151506770306,243.12151506770306,-3149.4056820526603,94.07822975760605,0,340
48,10.0,-3394.577052891031,24.408213698953244,244.08213698953244,-3150.4949159014986,94.21996208186596,0,340
49,10.0,-3396.482808168605,24.49074597354985,244.9074597354985,-3151.5753484331067,94.33501339656877,0,340
50,10.0,-3398.2761421828895,24.562801034164284,245.62801034164283,-3152.6481318412466,94.43052352133229,0,340
51,10.0,-3400.1325084190908,24.645024076539872,246.45024076539872,-3153.682267653692,94.56941684516852,0,340
